Volatility 3 Framework 2.26.2

Task Name	Principal ID	Display Name	Enabled	Creation Time	Last Run Time	Last Successful Run Time	Trigger Type	Trigger Description	Action Type	Action	Action Arguments	Action Context	Working Directory	Key Name
Installation	Interactive Users	-	True	2025-06-02 05:35:12.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-02 05:35:14.000000 UTC	Logon	Logon trigger	ComHandler	{6f58f65f-ec0e-4aca-99fe-fc5a1a25e4be}	Install $(Arg0)	Interactive Users	N/A	{07E0919D-1F8D-4FB8-A2D9-DE3244EFD97B}
File History (maintenance mode)	LocalService	-	-	2025-06-01 09:55:21.000000 UTC	2025-05-28 09:52:09.000000 UTC	2025-06-01 09:55:25.000000 UTC	-	-	ComHandler	{89917b7c-a1a6-11df-8bf6-18a90531a85a}	-	LocalService	N/A	{08738D71-2C37-468A-BCB1-011144EF3BB3}
HybridDriveCacheRebalance	LocalSystem	-	-	-	2025-05-29 09:52:09.000000 UTC	-	-	-	ComHandler	{d44377b8-1f2f-4faa-9c8e-6c4ad2928e47}	-	LocalSystem	N/A	{09A5275B-E0A8-4935-97DB-A9E4A02479BF}
DetectHardwareChange	LocalSystem	-	True	-	2025-05-29 09:52:09.000000 UTC	-	WindowsNotificationFacility	WNF state 7534bca3201d8741	ComHandler	{62b2dd2c-f129-42ee-bf59-55d3fd21c215}	DetectHardwareChange	LocalSystem	N/A	{09D57775-71B1-4633-9C76-D0FBF6A6B8F2}
DetectHardwareChange	LocalSystem	-	True	-	2025-05-29 09:52:09.000000 UTC	-	WindowsNotificationFacility	WNF state 7540bca3201d8741	ComHandler	{62b2dd2c-f129-42ee-bf59-55d3fd21c215}	DetectHardwareChange	LocalSystem	N/A	{09D57775-71B1-4633-9C76-D0FBF6A6B8F2}
HandleCommand	System	-	True	-	2025-05-29 09:52:09.000000 UTC	-	WindowsNotificationFacility	WNF state 7520bda33e06830d	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-HandleCommand	System	N/A	{0CCF4433-3CB6-4688-A442-EBF2326858FF}
MicrosoftEdgeUpdateTaskMachineUA	Author	-	True	2025-06-02 04:04:04.000000 UTC	2025-05-29 09:52:17.000000 UTC	2025-06-02 04:04:05.000000 UTC	Time	-	Exe	C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe	/ua /installsource scheduler	Author	-	{0E483820-5989-46E2-8635-32781D159C58}
Reboot_AC	Author	-	True	2025-05-30 08:51:00.000000 UTC	2025-05-29 18:10:00.000000 UTC	2025-05-30 08:49:35.000000 UTC	Time	-	Exe	%systemroot%\system32\MusNotification.exe	/RunOnAC Reboot	Author	-	{0EFE5017-4B5A-4ABD-86F3-184179887132}
RefreshCache	LocalSystem	-	True	2025-06-02 05:23:58.000000 UTC	2025-05-30 07:52:04.000000 UTC	2025-06-02 05:24:01.000000 UTC	Time	-	ComHandler	{e07647f7-aed2-48d9-9720-939bc24a8a3c}	-	LocalSystem	N/A	{0F11CBA2-C70E-4349-8A1E-BCBF85D657FA}
RefreshCache	LocalSystem	-	True	2025-06-02 05:23:58.000000 UTC	2025-05-30 07:52:04.000000 UTC	2025-06-02 05:24:01.000000 UTC	WindowsNotificationFacility	WNF state 7538bca33a019502	ComHandler	{e07647f7-aed2-48d9-9720-939bc24a8a3c}	-	LocalSystem	N/A	{0F11CBA2-C70E-4349-8A1E-BCBF85D657FA}
RefreshCache	LocalSystem	-	True	2025-06-02 05:23:58.000000 UTC	2025-05-30 07:52:04.000000 UTC	2025-06-02 05:24:01.000000 UTC	WindowsNotificationFacility	WNF state 757cbca33a019502	ComHandler	{e07647f7-aed2-48d9-9720-939bc24a8a3c}	-	LocalSystem	N/A	{0F11CBA2-C70E-4349-8A1E-BCBF85D657FA}
RegisterDeviceLocationRightsChange	System	-	True	-	2025-05-29 09:52:09.000000 UTC	-	WindowsNotificationFacility	WNF state 7538bca321089541	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange	System	N/A	{1088D714-A48A-4229-8F3D-E7551B24CC13}
VerifyWinRE	LocalAdmin	-	-	-	2025-05-29 09:52:09.000000 UTC	-	-	-	ComHandler	{89d1d0c2-a3cf-490c-abe3-b86cde34b047}	VerifyWinRE	LocalAdmin	N/A	{10EAB63F-F8A8-4E7A-A907-4FE595C572AD}
UsageDataReporting	LocalSystem	-	-	2025-06-01 09:55:19.000000 UTC	2025-05-30 07:51:47.000000 UTC	2025-06-01 09:55:29.000000 UTC	-	-	ComHandler	{bbfcd054-8aac-45de-a1eb-7b246c9028af}	-	LocalSystem	N/A	{116C8E40-6253-4ABC-BF60-6FC27E9F577A}
Schedule Wake To Work	Author	-	-	-	2025-05-29 06:56:36.000000 UTC	-	-	-	Exe	%systemroot%\system32\usoclient.exe	StartWork	Author	-	{1189F6B2-4A11-48FF-80AA-3AA654D6463D}
StartOobeAppsScanAfterUpdate	LocalSystem	-	True	2025-05-30 08:24:25.000000 UTC	2025-05-30 07:52:37.000000 UTC	2025-05-30 08:24:25.000000 UTC	WindowsNotificationFacility	WNF state 7520bca33e1e8a15	Exe	%systemroot%\system32\usoclient.exe	StartOobeAppsScanAfterUpdate	LocalSystem	-	{12A7FAEF-6381-4C69-8784-4AC6C4E2C0C5}
Interactive	Users	-	-	-	2025-05-29 09:52:09.000000 UTC	-	-	-	ComHandler	{855fec53-d2e4-4999-9e87-3414e9cf0ff4}	$(Arg0)	Users	N/A	{13C1253A-751C-44C1-9D63-259B973C2CEC}
UpdateUserPictureTask	Users	-	True	-	2025-05-29 09:52:09.000000 UTC	-	WindowsNotificationFacility	WNF state 7540bca338038113	ComHandler	{9c5dd34-9d-40fa-bcb9-165ad0c15d4}	-	Users	N/A	{145C7DD2-8E4A-4881-BCBD-49012408ACE7}
WiFiTask	Users	-	True	-	2025-05-29 09:52:09.000000 UTC	-	WindowsNotificationFacility	WNF state 7578bca33a078008	-	-	-	Users	-	{153F984C-1DFF-40D6-BF50-8A7507E54A2E}
Registration	LocalSystem	-	True	2025-06-02 05:23:58.000000 UTC	2025-05-30 07:51:24.000000 UTC	2025-06-02 05:23:59.000000 UTC	Time	-	Exe	%windir%\system32\sc.exe	start pushtoinstall registration	LocalSystem	-	{16472D93-AA29-481C-A556-379849EE0450}
Registration	LocalSystem	-	True	2025-06-02 05:23:58.000000 UTC	2025-05-30 07:51:24.000000 UTC	2025-06-02 05:23:59.000000 UTC	WindowsNotificationFacility	WNF state 750cbca3290b9641	Exe	%windir%\system32\sc.exe	start pushtoinstall registration	LocalSystem	-	{16472D93-AA29-481C-A556-379849EE0450}
WinSAT	$creator	-	-	-	2025-05-25 09:52:10.000000 UTC	-	-	-	ComHandler	{a9a33436-678b-4c9c-a211-7cc38785e79d}	-	$creator	N/A	{16CB175C-DAB3-476E-B1BC-5551176B3142}
Uninstallation	LocalSystem	-	-	2025-06-01 09:55:21.000000 UTC	2025-05-27 09:52:10.000000 UTC	2025-06-01 09:55:29.000000 UTC	-	-	ComHandler	{6f58f65f-ec0e-4aca-99fe-fc5a1a25e4be}	Uninstall	LocalSystem	N/A	{1B99EEAD-DBF7-4DC5-B362-0E73D207ECE7}
StartupAppTask	Users	-	-	2025-05-31 10:50:31.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-05-31 10:50:32.000000 UTC	-	-	Exe	%windir%\system32\rundll32.exe	Startupscan.dll,SusRunTask	Users	-	{1E265A24-591F-4552-8407-F10BF2894DD2}
MsCtfMonitor	AnyUser	-	True	2025-06-02 05:20:02.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-02 05:20:02.000000 UTC	Logon	Logon trigger	ComHandler	{1575cfe-9a55-4003-a5e1-f38d1ebdcbe1}	-	AnyUser	N/A	{1FF50EBF-1804-4EB5-A2B8-112C7C6E1B1C}
MareBackup	LocalSystem	-	-	-	2025-05-29 09:52:10.000000 UTC	-	-	-	Exe	%windir%\system32\compattelrunner.exe	-m:aeinv.dll -f:UpdateSoftwareInventoryW invsvc	LocalSystem	-	{210D7685-4264-4C87-9AA6-49AF24F5E077}
MareBackup	LocalSystem	-	-	-	2025-05-29 09:52:10.000000 UTC	-	-	-	Exe	%windir%\system32\compattelrunner.exe	-m:appraiser.dll -f:DoScheduledTelemetryRun	LocalSystem	-	{210D7685-4264-4C87-9AA6-49AF24F5E077}
MareBackup	LocalSystem	-	-	-	2025-05-29 09:52:10.000000 UTC	-	-	-	Exe	%windir%\system32\compattelrunner.exe	-m:aemarebackup.dll -f:BackupMareData	LocalSystem	-	{210D7685-4264-4C87-9AA6-49AF24F5E077}
Data Integrity Check And Scan	LocalSystem	-	False	-	2025-05-29 09:52:08.000000 UTC	-	Time	-	ComHandler	{dcfd3ea8-d960-4719-8206-490ae315f94f}	-	LocalSystem	N/A	{22C20B46-BF24-4E0D-8CEB-2978A4EE53B9}
Data Integrity Check And Scan	LocalSystem	-	False	-	2025-05-29 09:52:08.000000 UTC	-	Boot	Boot trigger	ComHandler	{dcfd3ea8-d960-4719-8206-490ae315f94f}	-	LocalSystem	N/A	{22C20B46-BF24-4E0D-8CEB-2978A4EE53B9}
Device Install Group Policy	LocalSystem	-	True	-	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7508bca32a1e890d	ComHandler	{60400283-b242-4fa8-8c25-caf695b88209}	-	LocalSystem	N/A	{22F42A89-CBDC-4ED1-A235-CED3DBBF9447}
MaintenanceTasks	LocalSystem	-	-	2025-06-01 09:55:20.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-06-01 09:55:25.000000 UTC	-	-	Exe	%windir%\system32\rundll32.exe	%windir%\system32\Windows.StateRepositoryClient.dll,StateRepositoryDoMaintenanceTasks	LocalSystem	-	{2318D516-BDC0-441E-8BD3-BEB98A06E9CF}
DmClientOnScenarioDownload	LocalSystem	-	True	2025-05-31 21:33:41.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-05-31 21:33:45.000000 UTC	WindowsNotificationFacility	WNF state 7518bea3390b8a41	Exe	%windir%\system32\dmclient.exe	utcwnf	LocalSystem	-	{233F9C92-6F3B-4F95-8EC0-EFBD71485C4F}
PLUGScheduler	LocalSystem	-	True	2025-06-01 18:29:47.000000 UTC	2025-05-29 18:10:01.000000 UTC	2025-06-01 18:29:47.000000 UTC	Logon	Logon trigger	-	-	-	LocalSystem	-	{241B1AC9-8F9A-49D5-94C9-2B998A63583B}
PLUGScheduler	LocalSystem	-	True	2025-06-01 18:29:47.000000 UTC	2025-05-29 18:10:01.000000 UTC	2025-06-01 18:29:47.000000 UTC	Time	-	-	-	-	LocalSystem	-	{241B1AC9-8F9A-49D5-94C9-2B998A63583B}
PLUGScheduler	LocalSystem	-	False	2025-06-01 18:29:47.000000 UTC	2025-05-29 18:10:01.000000 UTC	2025-06-01 18:29:47.000000 UTC	Logon	Logon trigger	-	-	-	LocalSystem	-	{241B1AC9-8F9A-49D5-94C9-2B998A63583B}
PLUGScheduler	LocalSystem	-	True	2025-06-01 18:29:47.000000 UTC	2025-05-29 18:10:01.000000 UTC	2025-06-01 18:29:47.000000 UTC	Time	-	-	-	-	LocalSystem	-	{241B1AC9-8F9A-49D5-94C9-2B998A63583B}
ThemesSyncedImageDownload	Users	-	-	2025-06-01 09:55:20.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-06-01 09:55:22.000000 UTC	-	-	ComHandler	{79f8e185-4e45-4b74-8182-2aa430661e4}	-	Users	N/A	{255B44FA-27A7-4936-B105-FBBB7D3BA313}
ReconcileFeatures	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-30 07:51:47.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 7508bca33a019502	ComHandler	{59eecbfe-c2f5-4419-9b99-13fe05ff2675}	-	LocalSystem	N/A	{25BD20B1-6167-4F02-9BC7-C6C49F50404F}
ReconcileFeatures	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-30 07:51:47.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 75f8bda33e06830d	ComHandler	{59eecbfe-c2f5-4419-9b99-13fe05ff2675}	-	LocalSystem	N/A	{25BD20B1-6167-4F02-9BC7-C6C49F50404F}
ReconcileFeatures	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-30 07:51:47.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 7508bca32a1e890d	ComHandler	{59eecbfe-c2f5-4419-9b99-13fe05ff2675}	-	LocalSystem	N/A	{25BD20B1-6167-4F02-9BC7-C6C49F50404F}
ReconcileFeatures	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-30 07:51:47.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 7508bca32b0d890f	ComHandler	{59eecbfe-c2f5-4419-9b99-13fe05ff2675}	-	LocalSystem	N/A	{25BD20B1-6167-4F02-9BC7-C6C49F50404F}
ReconcileFeatures	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-30 07:51:47.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 750cbca3290b9641	ComHandler	{59eecbfe-c2f5-4419-9b99-13fe05ff2675}	-	LocalSystem	N/A	{25BD20B1-6167-4F02-9BC7-C6C49F50404F}
ReconcileFeatures	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-30 07:51:47.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 7518bca32b0d890f	ComHandler	{59eecbfe-c2f5-4419-9b99-13fe05ff2675}	-	LocalSystem	N/A	{25BD20B1-6167-4F02-9BC7-C6C49F50404F}
DmClient	LocalSystem	-	-	2025-06-01 09:55:20.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-06-01 09:55:27.000000 UTC	-	-	-	-	-	LocalSystem	-	{2642B575-B267-4E18-A7F8-8D9F21A121D7}
XblGameSaveTask	LocalSystem	-	False	-	2025-05-29 09:52:10.000000 UTC	-	Logon	Logon trigger	Exe	%windir%\System32\XblGameSaveTask.exe	standby	LocalSystem	-	{26EFEB2F-72EF-4A2B-BB8A-E130AECA9F59}
ScanForUpdates	LocalSystem	-	True	2025-06-02 05:33:59.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-06-02 05:33:59.000000 UTC	Time	-	ComHandler	{a558c6a5-b42b-4c98-b610-bf9559143139}	-	LocalSystem	N/A	{270011F0-BBC6-47DB-9828-81DBB874457C}
ScanForUpdates	LocalSystem	-	True	2025-06-02 05:33:59.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-06-02 05:33:59.000000 UTC	WindowsNotificationFacility	WNF state 7524bca33e06830d	ComHandler	{a558c6a5-b42b-4c98-b610-bf9559143139}	-	LocalSystem	N/A	{270011F0-BBC6-47DB-9828-81DBB874457C}
ScanForUpdates	LocalSystem	-	False	2025-06-02 05:33:59.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-06-02 05:33:59.000000 UTC	Time	-	ComHandler	{a558c6a5-b42b-4c98-b610-bf9559143139}	-	LocalSystem	N/A	{270011F0-BBC6-47DB-9828-81DBB874457C}
EduPrintProv	Users	-	True	-	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7508bca3280a9341	-	-	-	Users	-	{28BBC3EF-328A-4816-BC16-F55792DEC357}
GoogleUpdaterTaskSystem138.0.7194.0{AC9FF73D-F128-4C29-AE1E-00A58A7438F2}	Author	-	True	2025-06-02 05:20:02.000000 UTC	2025-05-29 07:03:02.000000 UTC	2025-06-02 05:20:24.000000 UTC	Logon	Logon trigger	Exe	"C:\Program Files (x86)\Google\GoogleUpdater\138.0.7194.0\updater.exe"	--wake --system	Author	-	{29BA8E84-8E99-4AFF-A056-FF84CF95AAAA}
GoogleUpdaterTaskSystem138.0.7194.0{AC9FF73D-F128-4C29-AE1E-00A58A7438F2}	Author	-	True	2025-06-02 05:20:02.000000 UTC	2025-05-29 07:03:02.000000 UTC	2025-06-02 05:20:24.000000 UTC	Time	-	Exe	"C:\Program Files (x86)\Google\GoogleUpdater\138.0.7194.0\updater.exe"	--wake --system	Author	-	{29BA8E84-8E99-4AFF-A056-FF84CF95AAAA}
LicenseAcquisition	InteractiveUser	-	True	-	2025-05-29 09:52:10.000000 UTC	-	Time	-	-	-	-	InteractiveUser	-	{2C1C1085-4D00-4E8B-94C4-D12B2F6ED9D7}
LicenseAcquisition	InteractiveUser	-	True	-	2025-05-29 09:52:10.000000 UTC	-	Logon	Logon trigger	-	-	-	InteractiveUser	-	{2C1C1085-4D00-4E8B-94C4-D12B2F6ED9D7}
LicenseAcquisition	InteractiveUser	-	True	-	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7518bca33e06830d	-	-	-	InteractiveUser	-	{2C1C1085-4D00-4E8B-94C4-D12B2F6ED9D7}
RegisterDevicePolicyChange	System	-	True	-	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7548bca321078541	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange	System	N/A	{2D8925F6-73E2-407F-9C6B-5C12B8C63AD9}
RegisterDevicePolicyChange	System	-	True	-	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7508bca32a1e890d	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange	System	N/A	{2D8925F6-73E2-407F-9C6B-5C12B8C63AD9}
MicrosoftEdgeUpdateTaskMachineCore	Author	-	True	2025-06-02 05:20:02.000000 UTC	2025-05-29 09:52:17.000000 UTC	2025-06-02 05:20:04.000000 UTC	Logon	Logon trigger	Exe	C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe	/c	Author	-	{2FC88567-15C3-4F2D-8966-4869007849EA}
MicrosoftEdgeUpdateTaskMachineCore	Author	-	True	2025-06-02 05:20:02.000000 UTC	2025-05-29 09:52:17.000000 UTC	2025-06-02 05:20:04.000000 UTC	Time	-	Exe	C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe	/c	Author	-	{2FC88567-15C3-4F2D-8966-4869007849EA}
NetworkStateChangeTask	Users	-	True	2025-05-30 20:31:47.000000 UTC	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7508bca33e0b8441	ComHandler	{a4173a49-f373-4475-9a0f-2d615204dc20}	-	Users	N/A	{300B6C9F-BE20-4FA2-A3DE-82596DFA1DFD}
NetworkStateChangeTask	Users	-	True	2025-05-30 20:31:47.000000 UTC	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7510bca33e0b8441	ComHandler	{a4173a49-f373-4475-9a0f-2d615204dc20}	-	Users	N/A	{300B6C9F-BE20-4FA2-A3DE-82596DFA1DFD}
ClipESU	LocalSystem	-	True	-	2025-05-30 07:52:18.000000 UTC	-	Logon	Logon trigger	-	-	-	LocalSystem	-	{318862D0-0D03-475A-A8F2-32C944216A9C}
ClipESU	LocalSystem	-	True	-	2025-05-30 07:52:18.000000 UTC	-	Time	-	-	-	-	LocalSystem	-	{318862D0-0D03-475A-A8F2-32C944216A9C}
Reboot_Battery	Author	-	True	2025-05-30 08:51:00.000000 UTC	2025-05-29 18:10:00.000000 UTC	2025-05-30 08:51:00.000000 UTC	Time	-	Exe	%systemroot%\system32\MusNotification.exe	/RunOnBattery Reboot	Author	-	{31FAB255-2D40-423A-BF4C-98D4FD890F49}
Storage Tiers Optimization	LocalSystem	-	True	-	2025-05-29 09:52:10.000000 UTC	-	Time	-	Exe	%windir%\system32\defrag.exe	-c -h -g -# -m 8 -i 13500	LocalSystem	-	{336654C0-4590-4C95-AA84-2A93FCE28664}
LocalUserSyncDataAvailable	Users	-	True	2025-06-02 00:59:58.000000 UTC	2025-05-29 09:52:10.000000 UTC	2025-06-02 00:59:58.000000 UTC	WindowsNotificationFacility	WNF state 7508bca324009615	ComHandler	{8e7c2afb-72b9-415c-9ac2-5037693309b7}	LocalUserSyncDataAvailable	Users	N/A	{353AC82E-3D47-45D7-9624-2E48E28F5AC3}
Logon	LocalSystem	-	True	2025-06-02 02:35:49.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-02 02:35:58.000000 UTC	Logon	Logon trigger	Exe	%windir%\system32\ProvTool.exe	/turn 5 /source LogonIdleTask	LocalSystem	-	{3556EBC6-A364-4AD5-A904-F78F514541C9}
Windows Defender Cache Maintenance	LocalSystem	-	-	2025-06-01 18:43:36.000000 UTC	2025-05-29 17:01:56.000000 UTC	2025-06-01 18:44:36.000000 UTC	-	-	Exe	C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25040.2-0\MpCmdRun.exe	-IdleTask -TaskName WdCacheMaintenance	LocalSystem	-	{368F7815-BDAD-4C97-B9B6-2654725CFC79}
CacheTask	AnyUser	-	True	2025-06-02 05:20:02.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-02 05:17:43.000000 UTC	Logon	Logon trigger	ComHandler	{358b920-ac7-461f-98f4-58e32cd89148}	-	AnyUser	N/A	{36A7B2B8-5806-4ACE-AE07-B73B9AA9301A}
VerifiedPublisherCertStoreCheck	LocalService	-	True	-	2025-05-29 09:52:08.000000 UTC	-	Boot	Boot trigger	-	-	-	LocalService	-	{3886FDE0-DC67-443C-ACE5-EA4AE9F93F34}
NotificationTask	Users	-	True	-	2025-05-29 09:52:10.000000 UTC	-	WindowsNotificationFacility	WNF state 7520bca33a19870f	Exe	%SystemRoot%\System32\WiFiTask.exe	wwan	Users	-	{3C703342-EF2D-4E9F-9012-3E130CBFFA3A}
