Volatility 3 Framework 2.26.2

PID	Process	Args
2648	msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=crashpad-handler "--user-data-dir=C:\Users\testuser\AppData\Local\Microsoft\Edge\User Data" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\testuser\AppData\Local\Microsoft\Edge\User Data\Crashpad" "--metrics-dir=C:\Users\testuser\AppData\Local\Microsoft\Edge\User Data" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=137.0.7151.56 "--annotation=exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --annotation=plat=Win64 --annotation=prod=Edge --annotation=ver=137.0.3296.52 --initial-client-data=0x268,0x26c,0x270,0x264,0x25c,0x7ffad25cc148,0x7ffad25cc154,0x7ffad25cc160
6164	msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2424,i,17802086809254951788,12537780979761922383,262144 --variations-seed-version --mojo-platform-channel-handle=2572 /prefetch:3
6172	msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=gpu-process --no-pre-read-main-dll --gpu-preferences=UAAAAAAAAADgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --always-read-main-dll --field-trial-handle=2424,i,17802086809254951788,12537780979761922383,262144 --variations-seed-version --mojo-platform-channel-handle=2420 /prefetch:2
6192	msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2424,i,17802086809254951788,12537780979761922383,262144 --variations-seed-version --mojo-platform-channel-handle=2348 /prefetch:8
6452	OneDrive.exe	"C:\Users\testuser\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background
6780	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Appinfo
6036	ShellExperienc	"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca
6772	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
6896	ApplicationFra	C:\Windows\system32\ApplicationFrameHost.exe -Embedding
6876	SecHealthUI.ex	-
4968	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s BthAvctpSvc
1064	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc
7244	svchost.exe	C:\Windows\system32\svchost.exe -k WbioSvcGroup -s WbioSrvc
7408	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
7696	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UsoSvc
7752	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc
7796	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup
8108	consent.exe	-
2688	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
7824	dllhost.exe	"C:\Windows\system32\DllHost.exe" /Processid:{CB3B0003-8088-4EDE-8769-8B354AB2FF8C}
6792	TextInputHost.	"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe" -ServerName:InputApp.AppXk0k6mrh4r2q0ct33a9wgbez0x7v9cz5y.mca
6872	SystemSettings	"C:\Windows\ImmersiveControlPanel\SystemSettings.exe" -ServerName:microsoft.windows.immersivecontrolpanel
64	UserOOBEBroker	C:\Windows\System32\oobe\UserOOBEBroker.exe -Embedding
2468	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
5772	svchost.exe	-
5336	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
2592	consent.exe	-
8144	cmd.exe	"C:\Windows\system32\cmd.exe" 
2836	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
1528	notepad.exe	"C:\Windows\system32\NOTEPAD.EXE" C:\InfectionSimulation\attack_timeline.txt
8076	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost
5084	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wlidsvc
4596	smartscreen.ex	C:\Windows\System32\smartscreen.exe -Embedding
2864	consent.exe	-
1412	audiodg.exe	C:\Windows\system32\AUDIODG.EXE 0x468
5176	powershell.exe	"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" 
6744	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
1596	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc
5276	consent.exe	-
2924	consent.exe	-
3400	RamCapture64.e	"C:\Tools\RAMCapturer\RamCapture64.exe" 
5888	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
4736	SearchProtocol	"C:\Windows\system32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe10_ Global\UsGthrCtrlFltPipeMssGthrPipe10 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" 
4508	SearchFilterHo	"C:\Windows\system32\SearchFilterHost.exe" 0 820 824 832 8192 828 804 
